Column1,Column5,Column9
가깝,Adjective,*
가깝디가깝,Adjective,*
가냐프,Adjective,*
가냘프,Adjective,*
가녀리,Adjective,*
가느다랗,Adjective,*
가느닿,Adjective,*
가느랗,Adjective,*
가늘,Adjective,*
가늘디가늘,Adjective,*
가닐,Adjective,*
가당찮,Adjective,*
가득차,Adjective,*
가랍,Adjective,*
가량스럽,Adjective,*
가량없,Adjective,*
가련스럽,Adjective,*
가련하,Adjective,*
가렵,Adjective,*
가린스럽,Adjective,*
가만있,Adjective,*
가맣,Adjective,*
가멸,Adjective,*
가물,Adjective,*
가뭇없,Adjective,*
가볍,Adjective,*
가볍디가볍,Adjective,*
가쁘,Adjective,*
가살스럽,Adjective,*
가살지,Adjective,*
가소롭,Adjective,*
가없,Adjective,*
가열차,Adjective,*
가엷,Adjective,*
가엽,Adjective,*
가엾,Adjective,*
가즈럽,Adjective,*
가증스럽,Adjective,*
가찹,Adjective,*
가치롭,Adjective,*
가탈스럽,Adjective,*
가파롭,Adjective,*
가파르,Adjective,*
가팔르,Adjective,*
가팔막지,Adjective,*
가풀막지,Adjective,*
가프,Adjective,*
가혹스럽,Adjective,*
각,Adjective,*
각박스럽,Adjective,*
각별나,Adjective,*
간곳없,Adjective,*
간교롭,Adjective,*
간교스럽,Adjective,*
간데없,Adjective,*
간드러지,Adjective,*
간들어지,Adjective,*
간사스럽,Adjective,*
간살스럽,Adjective,*
간악스럽,Adjective,*
간지럽,Adjective,*
간특스럽,Adjective,*
간편스럽,Adjective,*
간활스럽,Adjective,*
간흉스럽,Adjective,*
갈급스럽,Adjective,*
갈데없,Adjective,*
감,Adjective,*
감격스럽,Adjective,*
감노랗,Adjective,*
감노르,Adjective,*
감디감,Adjective,*
감명깊,Adjective,*
감미롭,Adjective,*
감사납,Adjective,*
감질나,Adjective,*
감쪽같,Adjective,*
감탄스럽,Adjective,*
감파랗,Adjective,*
감파르,Adjective,*
갑갑스럽,Adjective,*
갑작스럽,Adjective,*
값비싸,Adjective,*
값싸,Adjective,*
값있,Adjective,*
값지,Adjective,*
갓,Adjective,*
갓,Adjective,*
강강하,Adjective,*
강녕하,Adjective,*
강단지,Adjective,*
강마르,Adjective,*
강직스럽,Adjective,*
강파르,Adjective,*
강팍하,Adjective,*
강팔지,Adjective,*
강하,Adjective,*
갖,Adjective,*
갖은,Adjective,*
같,Adjective,*
같잖,Adjective,*
같지않,Adjective,*
개감스럽,Adjective,*
개구지,Adjective,*
개르,Adjective,*
개붓하,Adjective,*
개성없,Adjective,*
개않,Adjective,*
개운찮,Adjective,*
개으르,Adjective,*
개탄스럽,Adjective,*
객없,Adjective,*
객적,Adjective,*
객쩍,Adjective,*
갸날프,Adjective,*
갸냘프,Adjective,*
걀쪽하,Adjective,*
걔,Adjective,*
거깄,Adjective,*
거런,Adjective,*
거령스럽,Adjective,*
거름지,Adjective,*
거만스럽,Adjective,*
거멓,Adjective,*
거북살스럽,Adjective,*
거북상스럽,Adjective,*
거북스럽,Adjective,*
거세,Adjective,*
거세차,Adjective,*
거창스럽,Adjective,*
거추장스럽,Adjective,*
거추장시럽,Adjective,*
거치르,Adjective,*
거치장스럽,Adjective,*
거칠,Adjective,*
거침없,Adjective,*
거하,Adjective,*
건방지,Adjective,*
건하,Adjective,*
걷,Adjective,*
