Column1,Column5,Column9
°¡°¡È£È£,Adverb,*
°¡°¢È÷,Adverb,*
°¡°­È÷,Adverb,*
°¡°ø½º·¹,Adverb,*
°¡°ü½º·¹,Adverb,*
°¡±ŞÀû,Adverb,*
°¡±à½º·¹,Adverb,*
°¡±àÈ÷,Adverb,*
°¡±î½º·Î,Adverb,*
°¡±îÀÌ,Adverb,*
°¡²Ù·Î,Adverb,*
°¡²û,Adverb,*
°¡²û°¡²û,Adverb,*
°¡²û°¡´Ù,Adverb,*
°¡²û°¡´Ù°¡,Adverb,*
°¡³ª¿À³ª,Adverb,*
°¡³­È÷,Adverb,*
°¡³ÇÇÇ,Adverb,*
°¡³â½º·¹,Adverb,*
°¡´À½º¸§ÀÌ,Adverb,*
°¡´À½º¸§È÷,Adverb,*
°¡´ÉÇÑ,Adverb,*
°¡´Ò°¡´Ò,Adverb,*
°¡´Ù°¡,Adverb,*
°¡´Ù°¡´Ù,Adverb,*
°¡´Ú°¡´Ú,Adverb,*
°¡´Ú°¡´ÚÀÌ,Adverb,*
°¡´çÂúÀÌ,Adverb,*
°¡´çÈ÷,Adverb,*
°¡µ¿°¡µ¿,Adverb,*
°¡µÕ°¡µÕ,Adverb,*
°¡µå¶ô°¡µå¶ô,Adverb,*
°¡µæ,Adverb,*
°¡µæ°¡µæ,Adverb,*
°¡µæ°¡µæÈ÷,Adverb,*
°¡µæÈ÷,Adverb,*
°¡µç°¡µç,Adverb,*
°¡µç°¡µçÈ÷,Adverb,*
°¡µçÈ÷,Adverb,*
°¡µé°¡µé,Adverb,*
°¡µé¸·°¡µé¸·,Adverb,*
°¡µé¸·ÀÌ,Adverb,*
°¡µğ·Ï,Adverb,*
°¡¶à,Adverb,*
°¡¶à°¡¶à,Adverb,*
°¡¶à°¡¶àÀÌ,Adverb,*
°¡¶à¿¡,Adverb,*
°¡¶àÀÌ,Adverb,*
°¡¶àÀÌ³ª,Adverb,*
°¡¶àÇÑµ¥,Adverb,*
°¡¶àÈ÷,Adverb,*
°¡¶á°¡¶á,Adverb,*
°¡¶á°¡¶áÈ÷,Adverb,*
°¡¶áÈ÷,Adverb,*
°¡¶ô°¡¶ô,Adverb,*
°¡¶ô°¡¶ôÀÌ,Adverb,*
°¡¶öÈ÷,Adverb,*
°¡¶û°¡¶û,Adverb,*
°¡·®,Adverb,*
°¡·®°¡·®È÷,Adverb,*
°¡·®½º·¹,Adverb,*
°¡·®¾øÀÌ,Adverb,*
°¡·ÃÈ÷,Adverb,*
°¡·É,Adverb,*
°¡·Î,Adverb,*
°¡·ç,Adverb,*
°¡¸£¶û,Adverb,*
°¡¸£¶û°¡¸£¶û,Adverb,*
°¡¸£¸ª,Adverb,*
°¡¸ª°¡¸ª,Adverb,*
°¡¸®°¡¸®,Adverb,*
°¡¸®·Î,Adverb,*
°¡¸®»êÁö¸®»ê,Adverb,*
°¡¸°½º·¹,Adverb,*
°¡¸¶,Adverb,*
°¡¸¶µæÈ÷,Adverb,*
°¡¸¶¸»¾¦ÀÌ,Adverb,*
°¡¸¶¹«Æ®¸§È÷,Adverb,*
°¡¸¶¾ÆµæÈ÷,Adverb,*
°¡¸¸,Adverb,*
°¡¸¸°¡¸¸,Adverb,*
°¡¸¸°¡¸¸È÷,Adverb,*
°¡¸¸»ç»Ó,Adverb,*
°¡¸¸ÀÌ,Adverb,*
°¡¸¸È÷,Adverb,*
°¡¹«²ô¸§È÷,Adverb,*
°¡¹«¼÷¼÷È÷,Adverb,*
°¡¹«½º¸§È÷,Adverb,*
°¡¹«Á·Á·È÷,Adverb,*
°¡¹«Æ®¸§È÷,Adverb,*
°¡¹°°¡¹°,Adverb,*
°¡¹µ,Adverb,*
°¡¹µ°¡¹µ,Adverb,*
°¡¹µ°¡¹µÀÌ,Adverb,*
°¡¹µ¾øÀÌ,Adverb,*
°¡º­ÀÌ,Adverb,*
°¡º±°Ô,Adverb,*
