Column1,Column5,Column9
가,Eomi,*
가,Eomi,*
가가,Eomi,*
가꼬,Eomi,*
가뇨,Eomi,*
가니,Eomi,*
가니오,Eomi,*
가니와,Eomi,*
가라,Eomi,*
가시니,Eomi,*
가요,Eomi,*
가지라,Eomi,*
간,Eomi,*
간,Eomi,*
간디,Eomi,*
간디,Eomi,*
간디니,Eomi,*
간디니라,Eomi,*
간디라,Eomi,*
간디요,Eomi,*
감,Eomi,*
갑더라,Eomi,*
갔,Eomi,*
개니라,Eomi,*
거,Eomi,*
거고,Eomi,*
거고나,Eomi,*
거나,Eomi,*
거나,Eomi,*
거냐,Eomi,*
거녀,Eomi,*
거뇨,Eomi,*
거늘,Eomi,*
거늘,Eomi,*
거니,Eomi,*
거니,Eomi,*
거니라,Eomi,*
거니오,Eomi,*
거니와,Eomi,*
거다,Eomi,*
거다,Eomi,*
거던,Eomi,*
거던,Eomi,*
거덩,Eomi,*
거덩,Eomi,*
거드면,Eomi,*
거든,Eomi,*
거든,Eomi,*
거든요,Eomi,*
거든요,Eomi,*
거든입쇼,Eomi,*
거들랑,Eomi,*
거들랑,Eomi,*
거들랑요,Eomi,*
거등,Eomi,*
거등요,Eomi,*
거디라,Eomi,*
거라,Eomi,*
거라,Eomi,*
거라고,Eomi,*
거라이,Eomi,*
거래이,Eomi,*
거를,Eomi,*
거리,Eomi,*
거사,Eomi,*
거스라,Eomi,*
거시나,Eomi,*
거시뇨,Eomi,*
거시늘,Eomi,*
거시니,Eomi,*
거시니오,Eomi,*
거시니와,Eomi,*
거시다,Eomi,*
거시든,Eomi,*
거신,Eomi,*
거아,Eomi,*
거야,Eomi,*
거이다,Eomi,*
거지라,Eomi,*
거징이다,Eomi,*
건,Eomi,*
건,Eomi,*
건고,Eomi,*
건대,Eomi,*
건댄,Eomi,*
건데,Eomi,*
건덴,Eomi,*
건마는,Eomi,*
건만,Eomi,*
건만,Eomi,*
건져,Eomi,*
걸,Eomi,*
걸랑,Eomi,*
걸랑,Eomi,*
걸랑요,Eomi,*
걸랑요,Eomi,*
걸래,Eomi,*
걸아,Eomi,*
것,Eomi,*
것다,Eomi,*
것다,Eomi,*
것마는,Eomi,*
겄,Eomi,*
겄,Eomi,*
게,Eomi,*
게,Eomi,*
게겐,Eomi,*
게끔,Eomi,*
게끔,Eomi,*
게나,Eomi,*
게나,Eomi,*
게나마,Eomi,*
게는,Eomi,*
게는,Eomi,*
게도,Eomi,*
게도시리,Eomi,*
게두,Eomi,*
게든,Eomi,*
게든지,Eomi,*
게들,Eomi,*
게라,Eomi,*
게라,Eomi,*
게라도,Eomi,*
게르,Eomi,*
게만,Eomi,*
게쇼,Eomi,*
게스리,Eomi,*
게시리,Eomi,*
게시리,Eomi,*
게아,Eomi,*
게야,Eomi,*
게요,Eomi,*
게요,Eomi,*
겐,Eomi,*
겟,Eomi,*
겟,Eomi,*
겠,Eomi,*
겠,Eomi,*
겠,Eomi,*
겠사오,Eomi,*
겠사옵,Eomi,*
겠지,Eomi,*
계시는,Eomi,*
곈가,Eomi,*
고,Eomi,*
고,Eomi,*
고,Eomi,*
고나,Eomi,*
고나,Eomi,*
고녀,Eomi,*
고녀,Eomi,*
고는,Eomi,*
고뎌,Eomi,*
고도,Eomi,*
고라,Eomi,*
고라,Eomi,*
고라니,Eomi,*
고라도,Eomi,*
고라쟈,Eomi,*
고려,Eomi,*
고마,Eomi,*
고만,Eomi,*
고만요,Eomi,*
고만요,Eomi,*
고만이라우,Eomi,*
고말고,Eomi,*
고말고,Eomi,*
고말고요,Eomi,*
고사,Eomi,*
고서,Eomi,*
고서,Eomi,*
고서라도,Eomi,*
고서리,Eomi,*
고선,Eomi,*
고설랑,Eomi,*
고시나,Eomi,*
고야,Eomi,*
고야,Eomi,*
고예,Eomi,*
고예,Eomi,*
고요,Eomi,*
고요,Eomi,*
고요이,Eomi,*
고잉,Eomi,*
고자,Eomi,*
고자,Eomi,*
고장,Eomi,*
고쟈,Eomi,*
고저,Eomi,*
고져,Eomi,*
고졔니,Eomi,*
고파,Eomi,*
고파,Eomi,*
고퍼요,Eomi,*
고프,Eomi,*
고픈,Eomi,*
곡,Eomi,*
곤,Eomi,*
곤대,Eomi,*
곤여,Eomi,*
곰,Eomi,*
과댜,Eomi,*
과뎌,Eomi,*
과라,Eomi,*
과소라,Eomi,*
과쟈,Eomi,*
과저,Eomi,*
과저,Eomi,*
관대,Eomi,*
관대,Eomi,*
관데,Eomi,*
관뎌,Eomi,*
관듸,Eomi,*
괴야,Eomi,*
교,Eomi,*
교,Eomi,*
구,Eomi,*
구,Eomi,*
구나,Eomi,*
구나,Eomi,*
구나고,Eomi,*
구나라는,Eomi,*
구나아,Eomi,*
구나아,Eomi,*
구나이,Eomi,*
구는,Eomi,*
구두,Eomi,*
구라두,Eomi,*
구래,Eomi,*
구래,Eomi,*
구랴,Eomi,*
구랴,Eomi,*
구레,Eomi,*
구레,Eomi,*
구려,Eomi,*
구려,Eomi,*
구로,Eomi,*
구로,Eomi,*
구료,Eomi,*
구료,Eomi,*
구리,Eomi,*
구마,Eomi,*
구마,Eomi,*
구마는,Eomi,*
구마는,Eomi,*
구마는야,Eomi,*
구만,Eomi,*
구만,Eomi,*
구만요,Eomi,*
구만요이,Eomi,*
구만유,Eomi,*
구만이,Eomi,*
구만이라,Eomi,*
구만이라우,Eomi,*
구만일라,Eomi,*
구말구,Eomi,*
구먼,Eomi,*
구먼,Eomi,*
구먼요,Eomi,*
구먼요,Eomi,*
구먼유,Eomi,*
구먼이,Eomi,*
구먼이라우,Eomi,*
구먼입쇼,Eomi,*
구면,Eomi,*
구면,Eomi,*
구서,Eomi,*
구서,Eomi,*
구서는,Eomi,*
구서야,Eomi,*
구서요,Eomi,*
구선,Eomi,*
구야,Eomi,*
구요,Eomi,*
구요,Eomi,*
구우,Eomi,*
구유,Eomi,*
구자,Eomi,*
구자요,Eomi,*
군,Eomi,*
군,Eomi,*
군그래,Eomi,*
군그래,Eomi,*
군만요,Eomi,*
군요,Eomi,*
군요,Eomi,*
군입쇼,Eomi,*
굼지서,Eomi,*
굽쇼,Eomi,*
굽쇼,Eomi,*
그,Eomi,*
그던,Eomi,*
그던,Eomi,*
그덩,Eomi,*
그든,Eomi,*
그든요,Eomi,*
그등,Eomi,*
그등요,Eomi,*
그라,Eomi,*
그라,Eomi,*
그래이,Eomi,*
그러,Eomi,*
그레,Eomi,*
그로,Eomi,*
그로,Eomi,*
그리구,Eomi,*
그만,Eomi,*
그만이,Eomi,*
긋,Eomi,*
긔,Eomi,*
긧고,Eomi,*
기,Eomi,*
기,Eomi,*
기,Eomi,*
기,Eomi,*
기나,Eomi,*
기는,Eomi,*
기는요,Eomi,*
기라도,Eomi,*
기라우,Eomi,*
기로,Eomi,*
기로니,Eomi,*
기로서,Eomi,*
기로서니,Eomi,*
기로선들,Eomi,*
기로요,Eomi,*
기루서니,Eomi,*
기야,Eomi,*
기에,Eomi,*
기에,Eomi,*
기에요,Eomi,*
기요,Eomi,*
긴,Eomi,*
긴,Eomi,*
긴요,Eomi,*
길,Eomi,*
길래,Eomi,*
길래,Eomi,*
까,Eomi,*
까,Eomi,*
까나,Eomi,*
까말까,Eomi,*
까요,Eomi,*
깝쇼,Eomi,*
깨로,Eomi,*
꺼니,Eomi,*
꺼마,Eomi,*
께,Eomi,*
께,Eomi,*
께네,Eomi,*
께예,Eomi,*
께요,Eomi,*
껭,Eomi,*
꼬,Eomi,*
꼬,Eomi,*
꼬마,Eomi,*
꾸마,Eomi,*
끄나,Eomi,*
끄라우,Eomi,*
끄러,Eomi,*
끔,Eomi,*
낀데,Eomi,*
ㄴ가,Eomi,*
ㄴ감,Eomi,*
ㄴ강,Eomi,*
ㄴ걸,Eomi,*
ㄴ고,Eomi,*
ㄴ고요,Eomi,*
ㄴ교,Eomi,*
ㄴ께네,Eomi,*
ㄴ나,Eomi,*
ㄴ논디라,Eomi,*
ㄴ다,Eomi,*
ㄴ다거나,Eomi,*
ㄴ다거든,Eomi,*
ㄴ다고,Eomi,*
ㄴ다고,Eomi,*
ㄴ다구,Eomi,*
ㄴ다기에,Eomi,*
ㄴ다길래,Eomi,*
ㄴ다나,Eomi,*
ㄴ다네,Eomi,*
ㄴ다느냐,Eomi,*
ㄴ다느니,Eomi,*
ㄴ다는,Eomi,*
ㄴ다는구나,Eomi,*
ㄴ다는구먼,Eomi,*
ㄴ다니,Eomi,*
ㄴ다니까,Eomi,*
ㄴ다더군,Eomi,*
ㄴ다더니,Eomi,*
ㄴ다더라,Eomi,*
ㄴ다던,Eomi,*
ㄴ다던가,Eomi,*
ㄴ다던데,Eomi,*
ㄴ다데,Eomi,*
ㄴ다든,Eomi,*
ㄴ다든가,Eomi,*
ㄴ다든지,Eomi,*
ㄴ다마는,Eomi,*
ㄴ다마다,Eomi,*
ㄴ다만,Eomi,*
ㄴ다며,Eomi,*
ㄴ다면,Eomi,*
ㄴ다면서,Eomi,*
ㄴ다손,Eomi,*
ㄴ다오,Eomi,*
ㄴ다이,Eomi,*
ㄴ다지,Eomi,*
ㄴ단,Eomi,*
ㄴ단다,Eomi,*
ㄴ달,Eomi,*
ㄴ달까,Eomi,*
ㄴ담,Eomi,*
ㄴ답니까,Eomi,*
ㄴ답니다,Eomi,*
ㄴ답디까,Eomi,*
ㄴ답디다,Eomi,*
ㄴ답시고,Eomi,*
ㄴ대,Eomi,*
ㄴ대,Eomi,*
ㄴ대나,Eomi,*
ㄴ대니,Eomi,*
ㄴ대도,Eomi,*
ㄴ대두,Eomi,*
ㄴ대서,Eomi,*
ㄴ대서야,Eomi,*
ㄴ대야,Eomi,*
ㄴ대요,Eomi,*
ㄴ댄,Eomi,*
ㄴ댄다,Eomi,*
ㄴ댔어,Eomi,*
ㄴ댔자,Eomi,*
ㄴ댜,Eomi,*
ㄴ데,Eomi,*
ㄴ덴,Eomi,*
ㄴ뎁쇼,Eomi,*
ㄴ뎌,Eomi,*
ㄴ뎌이고,Eomi,*
ㄴ동,Eomi,*
ㄴ들,Eomi,*
ㄴ듸,Eomi,*
ㄴ디,Eomi,*
ㄴ디라,Eomi,*
ㄴ디면,Eomi,*
ㄴ바,Eomi,*
ㄴ쟈,Eomi,*
ㄴ져이고,Eomi,*
ㄴ졔고,Eomi,*
ㄴ졔이고,Eomi,*
ㄴ즉,Eomi,*
ㄴ즉슨,Eomi,*
ㄴ지,Eomi,*
ㄴ지고,Eomi,*
ㄴ지라,Eomi,*
나,Eomi,*
나,Eomi,*
나고,Eomi,*
나뇨,Eomi,*
나니,Eomi,*
나니,Eomi,*
나니라,Eomi,*
나다,Eomi,*
나다,Eomi,*
나다나,Eomi,*
나도,Eomi,*
나든,Eomi,*
나따나,Eomi,*
나라,Eomi,*
나라,Eomi,*
나래,Eomi,*
나마,Eomi,*
나마나,Eomi,*
나마나,Eomi,*
나마는,Eomi,*
나만,Eomi,*
나면,Eomi,*
나면,Eomi,*
나면은,Eomi,*
나새나,Eomi,*
나시든,Eomi,*
나아,Eomi,*
나요,Eomi,*
나요,Eomi,*
나유,Eomi,*
나유,Eomi,*
나이까,Eomi,*
나이까,Eomi,*
나이다,Eomi,*
나이다,Eomi,*
나지,Eomi,*
나지라,Eomi,*
나지요,Eomi,*
난,Eomi,*
남,Eomi,*
남,Eomi,*
남동,Eomi,*
남유,Eomi,*
내,Eomi,*
내며,Eomi,*
내비,Eomi,*
냐,Eomi,*
냐,Eomi,*
냐건,Eomi,*
냐고,Eomi,*
냐고,Eomi,*
냐고오,Eomi,*
냐고요,Eomi,*
냐고요,Eomi,*
냐고요오,Eomi,*
냐구,Eomi,*
냐구,Eomi,*
냐구요,Eomi,*
냐구요,Eomi,*
냐구우,Eomi,*
냐넌,Eomi,*
냐느니,Eomi,*
냐는,Eomi,*
냐는데,Eomi,*
냐니,Eomi,*
냐니까,Eomi,*
냐니까,Eomi,*
냐니까요,Eomi,*
냐니깐,Eomi,*
냐니께,Eomi,*
냐든가,Eomi,*
냐라는,Eomi,*
냐며,Eomi,*
냐면,Eomi,*
냐면,Eomi,*
냐면서,Eomi,*
냐면은,Eomi,*
냐면은,Eomi,*
냐믄,Eomi,*
냐믄,Eomi,*
냐믄서,Eomi,*
냐아,Eomi,*
냐아,Eomi,*
냐이,Eomi,*
냐잉,Eomi,*
냔,Eomi,*
냬,Eomi,*
냬는,Eomi,*
냬니까,Eomi,*
냬요,Eomi,*
냰,Eomi,*
너냐,Eomi,*
너냐니께,Eomi,*
너냔,Eomi,*
너니,Eomi,*
너라,Eomi,*
너라,Eomi,*
너라고,Eomi,*
너라구,Eomi,*
너먼,Eomi,*
너이다,Eomi,*
넌,Eomi,*
넌가,Eomi,*
넌겨,Eomi,*
넌겨,Eomi,*
넌규,Eomi,*
넌다구,Eomi,*
넌다넌,Eomi,*
넌다네,Eomi,*
넌단,Eomi,*
넌댜,Eomi,*
넌디,Eomi,*
넌디,Eomi,*
넌디유,Eomi,*
넌지,Eomi,*
네,Eomi,*
네,Eomi,*
네그래,Eomi,*
네그랴,Eomi,*
네그려,Eomi,*
네그려,Eomi,*
네그리,Eomi,*
네라,Eomi,*
네라,Eomi,*
네라는,Eomi,*
네라우,Eomi,*
네마는,Eomi,*
네만,Eomi,*
네만,Eomi,*
네야,Eomi,*
네여,Eomi,*
네예,Eomi,*
네요,Eomi,*
네요,Eomi,*
네요마는,Eomi,*
네요이,Eomi,*
네유,Eomi,*
네유,Eomi,*
네이,Eomi,*
네잉,Eomi,*
넨다,Eomi,*
녀,Eomi,*
녜,Eomi,*
노,Eomi,*
노,Eomi,*
노니,Eomi,*
노니,Eomi,*
노니라,Eomi,*
노닛가,Eomi,*
노다,Eomi,*
노라,Eomi,*
노라,Eomi,*
노라고,Eomi,*
노라고,Eomi,*
노라고요,Eomi,*
노라구요,Eomi,*
노라네,Eomi,*
노라는,Eomi,*
노라니,Eomi,*
노라니까,Eomi,*
노라던,Eomi,*
노라며,Eomi,*
노라면,Eomi,*
노라면,Eomi,*
노라면서,Eomi,*
노라면서,Eomi,*
노란,Eomi,*
노매,Eomi,*
노매라,Eomi,*
노믜라,Eomi,*
노소니,Eomi,*
노소라,Eomi,*
노쇠,Eomi,*
노야,Eomi,*
노왜라,Eomi,*
노이다,Eomi,*
노잇가,Eomi,*
논,Eomi,*
논가,Eomi,*
논고,Eomi,*
논뎌,Eomi,*
논디라,Eomi,*
놋다,Eomi,*
놋다,Eomi,*
놋도다,Eomi,*
농이다,Eomi,*
뇌,Eomi,*
뇌다,Eomi,*
뇨,Eomi,*
뇨,Eomi,*
누,Eomi,*
누,Eomi,*
누나,Eomi,*
누나,Eomi,*
누라고,Eomi,*
누라구,Eomi,*
누만,Eomi,*
누만,Eomi,*
누만요,Eomi,*
누먼,Eomi,*
눈,Eomi,*
느나며,Eomi,*
느냐,Eomi,*
느냐,Eomi,*
느냐고,Eomi,*
느냐고,Eomi,*
느냐고요,Eomi,*
느냐고요,Eomi,*
느냐구,Eomi,*
느냐구,Eomi,*
느냐구요,Eomi,*
느냐느니,Eomi,*
느냐는,Eomi,*
느냐니,Eomi,*
느냐니까,Eomi,*
느냐니까,Eomi,*
느냐라는,Eomi,*
느냐마는,Eomi,*
느냐마는,Eomi,*
느냐며,Eomi,*
느냐면,Eomi,*
느냐면서,Eomi,*
느냐면은,Eomi,*
느냐지,Eomi,*
느냔,Eomi,*
느뇨,Eomi,*
느뇨,Eomi,*
느니,Eomi,*
느니,Eomi,*
느니라,Eomi,*
느니라,Eomi,*
느니만,Eomi,*
느니만치,Eomi,*
느니만큼,Eomi,*
느다면은,Eomi,*
느라,Eomi,*
느라,Eomi,*
느라고,Eomi,*
느라고,Eomi,*
느라고요,Eomi,*
느라구,Eomi,*
느라구,Eomi,*
느라구요,Eomi,*
느라니,Eomi,*
