Column1,Column5,Column9
가,Exclamation,*
가동가동,Exclamation,*
가마이,Exclamation,*
가만,Exclamation,*
갈갈갈갈,Exclamation,*
개새끼,Exclamation,*
개자식,Exclamation,*
갸르르,Exclamation,*
갸르르르르,Exclamation,*
갸르르르르르,Exclamation,*
거,Exclamation,*
거봐,Exclamation,*
거시기,Exclamation,*
거참,Exclamation,*
걸음마,Exclamation,*
게,Exclamation,*
경롓,Exclamation,*
고,Exclamation,*
고수레,Exclamation,*
고오,Exclamation,*
고이연,Exclamation,*
곤두곤두,Exclamation,*
곤지곤지,Exclamation,*
과연,Exclamation,*
구구,Exclamation,*
구구구,Exclamation,*
그,Exclamation,*
그거참,Exclamation,*
그것참,Exclamation,*
그까,Exclamation,*
그래,Exclamation,*
그래그래,Exclamation,*
그래두야,Exclamation,*
그래설라무네,Exclamation,*
그래애,Exclamation,*
그래에,Exclamation,*
그래요,Exclamation,*
그래이,Exclamation,*
그랴,Exclamation,*
그러게,Exclamation,*
그러니깐요,Exclamation,*
그러먼,Exclamation,*
그러면요,Exclamation,*
그러믄,Exclamation,*
그러믄요,Exclamation,*
그러엄,Exclamation,*
그런,Exclamation,*
그럼,Exclamation,*
그럼요,Exclamation,*
그럼유,Exclamation,*
그럼입쇼,Exclamation,*
그럼입죠,Exclamation,*
그렇지,Exclamation,*
그려,Exclamation,*
그려어,Exclamation,*
그류,Exclamation,*
그르게,Exclamation,*
그르니깐요,Exclamation,*
그르치,Exclamation,*
그리고,Exclamation,*
그으래,Exclamation,*
그죠,Exclamation,*
그지,Exclamation,*
그지요,Exclamation,*
그쵸,Exclamation,*
그치,Exclamation,*
글쎄,Exclamation,*
글쎄다,Exclamation,*
글쎄올시다,Exclamation,*
글쎄요,Exclamation,*
글쎄요라니,Exclamation,*
글씨,Exclamation,*
글쿠나,Exclamation,*
기,Exclamation,*
기쎄,Exclamation,*
길티,Exclamation,*
까,Exclamation,*
까꽁,Exclamation,*
까꿍,Exclamation,*
까르르,Exclamation,*
까악까악,Exclamation,*
까짓,Exclamation,*
까짓거,Exclamation,*
까짓것,Exclamation,*
깔깔깔,Exclamation,*
깔깔깔깔,Exclamation,*
꺄르르,Exclamation,*
꺄아,Exclamation,*
꺄악,Exclamation,*
껄껄껄,Exclamation,*
꽤,Exclamation,*
끄응,Exclamation,*
끄치,Exclamation,*
끙,Exclamation,*
끼끼끼,Exclamation,*
끼약,Exclamation,*
낑,Exclamation,*
나,Exclamation,*
나무아미타불,Exclamation,*
나원,Exclamation,*
나원참,Exclamation,*
나참,Exclamation,*
내,Exclamation,*
내롱,Exclamation,*
내롱내롱,Exclamation,*
내참,Exclamation,*
넘차,Exclamation,*
네,Exclamation,*
네기,Exclamation,*
네네,Exclamation,*
네네네,Exclamation,*
네미,Exclamation,*
네버,Exclamation,*
네에,Exclamation,*
네엣,Exclamation,*
네헤,Exclamation,*
넨장,Exclamation,*
넨장맞을,Exclamation,*
넷,Exclamation,*
녜,Exclamation,*
녜에,Exclamation,*
녠장할,Exclamation,*
노,Exclamation,*
노노,Exclamation,*
노노노노노,Exclamation,*
노래,Exclamation,*
노우,Exclamation,*
놈이야,Exclamation,*
누,Exclamation,*
느메랄,Exclamation,*
니기럴,Exclamation,*
니기미,Exclamation,*
니나노,Exclamation,*
니미,Exclamation,*
니미럴,Exclamation,*
니히히,Exclamation,*
닐리리,Exclamation,*
다다다다다다다다다다,Exclamation,*
달강달강,Exclamation,*
데끼,Exclamation,*
도리도리,Exclamation,*
된장,Exclamation,*
두,Exclamation,*
두두,Exclamation,*
두야,Exclamation,*
둥개둥개,Exclamation,*
둥둥,Exclamation,*
따,Exclamation,*
따다,Exclamation,*
따란,Exclamation,*
따로따로,Exclamation,*
땡큐,Exclamation,*
떠그랄,Exclamation,*
떡을할,Exclamation,*
떽,Exclamation,*
또,Exclamation,*
또라이,Exclamation,*
뚜뚜뚜뚜뚜,Exclamation,*
뜨아,Exclamation,*
뜨어이,Exclamation,*
띠,Exclamation,*
띠따,Exclamation,*
띠얏,Exclamation,*
띵호,Exclamation,*
라,Exclamation,*
라라,Exclamation,*
라라라,Exclamation,*
라라라라,Exclamation,*
라라라라라,Exclamation,*
라랄라랄,Exclamation,*
랄랄라,Exclamation,*
랄랄랄라,Exclamation,*
룰라,Exclamation,*
마,Exclamation,*
마스크,Exclamation,*
마흔세에,Exclamation,*
막,Exclamation,*
만만세,Exclamation,*
만세,Exclamation,*
만세에,Exclamation,*
맙소사,Exclamation,*
맞아,Exclamation,*
맞았어,Exclamation,*
머,Exclamation,*
머시기,Exclamation,*
머지,Exclamation,*
멀,Exclamation,*
멍군,Exclamation,*
메롱,Exclamation,*
메헤헤헤,Exclamation,*
모,Exclamation,*
무,Exclamation,*
무슨,Exclamation,*
무시기,Exclamation,*
무애,Exclamation,*
무어,Exclamation,*
무얼,Exclamation,*
