Column1,Column5,Column9
가나안,Foreign,*
가나이트,Foreign,*
가네샤,Foreign,*
가네시히말,Foreign,*
가네팅,Foreign,*
가네포,Foreign,*
가니메데,Foreign,*
가니어라이트,Foreign,*
가닛,Foreign,*
가돌레,Foreign,*
가돌리나이트,Foreign,*
가돌리늄,Foreign,*
가돌린,Foreign,*
가드,Foreign,*
가드,Foreign,*
가든,Foreign,*
가딩,Foreign,*
가라테,Foreign,*
가레트,Foreign,*
가론,Foreign,*
가르강튀아,Foreign,*
가르시아,Foreign,*
가리알,Foreign,*
가말리엘,Foreign,*
가믈란,Foreign,*
가밀,Foreign,*
가버나움,Foreign,*
가보트,Foreign,*
가볼러지,Foreign,*
가부키,Foreign,*
가부토초,Foreign,*
가블러,Foreign,*
가비알,Foreign,*
가비지,Foreign,*
가소겐,Foreign,*
가소올,Foreign,*
가솔린,Foreign,*
가스,Foreign,*
가스라이트,Foreign,*
가스테리아,Foreign,*
가스트리노마,Foreign,*
가스트린,Foreign,*
가스파초,Foreign,*
가스펠,Foreign,*
가십,Foreign,*
가쓰라,Foreign,*
가야르드,Foreign,*
가얄,Foreign,*
가오루,Foreign,*
가와무라,Foreign,*
가와바타,Foreign,*
가와사키,Foreign,*
가우가멜라,Foreign,*
가우르,Foreign,*
가우리상카르,Foreign,*
가이데릭,Foreign,*
가이드,Foreign,*
가이드,Foreign,*
가이아,Foreign,*
가자니아,Foreign,*
가잔,Foreign,*
가제트,Foreign,*
가젤,Foreign,*
가즈시게,Foreign,*
가쿠고로,Foreign,*
가쿠에이,Foreign,*
가터,Foreign,*
가톨릭,Foreign,*
가트,Foreign,*
가프,Foreign,*
가피시,Foreign,*
간드레,Foreign,*
간디즘,Foreign,*
갈라고,Foreign,*
갈라디아,Foreign,*
갈라세토페논,Foreign,*
갈라테이아,Foreign,*
갈라티아,Foreign,*
갈락탄,Foreign,*
갈락토겐,Foreign,*
갈락토사민,Foreign,*
갈락토시다아제,Foreign,*
갈락토시드,Foreign,*
갈락토오스,Foreign,*
갈락톤,Foreign,*
갈란타민,Foreign,*
갈란테,Foreign,*
갈란투스,Foreign,*
갈륨,Foreign,*
갈리아,Foreign,*
갈리카니슴,Foreign,*
갈릭,Foreign,*
갈릴리,Foreign,*
갈바노미터,Foreign,*
갈토니아,Foreign,*
갈회피겐,Foreign,*
감마존데,Foreign,*
감바,Foreign,*
강글리오시드,Foreign,*
개그,Foreign,*
개노필라이트,Foreign,*
개더,Foreign,*
개러지,Foreign,*
개런티,Foreign,*
개리지,Foreign,*
개버딘,Foreign,*
개스킷,Foreign,*
갠트리,Foreign,*
갤러리,Foreign,*
갤러리,Foreign,*
갤러핑,Foreign,*
갤런,Foreign,*
갤런틴,Foreign,*
갤리어드,Foreign,*
갤리언,Foreign,*
갭,Foreign,*
거더,Foreign,*
거루마니,Foreign,*
거버너,Foreign,*
거베라,Foreign,*
거즈,Foreign,*
거크,Foreign,*
거터,Foreign,*
거트,Foreign,*
걸리버,Foreign,*
게네랄파우제,Foreign,*
게네랄프로베,Foreign,*
게노센샤프트,Foreign,*
게노스,Foreign,*
게놈,Foreign,*
게라니올,Foreign,*
게레눅,Foreign,*
게르마늄,Foreign,*
게르마니스트,Foreign,*
게르마니쿠스,Foreign,*
게르버,Foreign,*
게를라호프키,Foreign,*
게리맨더링,Foreign,*
게릴라,Foreign,*
게마인샤프트,Foreign,*
게슈타포,Foreign,*
게슈탈트,Foreign,*
게스트,Foreign,*
게오르크,Foreign,*
게이샤,Foreign,*
게이스케,Foreign,*
게이지,Foreign,*
게이징,Foreign,*
게이트,Foreign,*
게인,Foreign,*
게임,Foreign,*
게임스,Foreign,*
게젤샤프트,Foreign,*
게즈,Foreign,*
게카베,Foreign,*
게터,Foreign,*
게토,Foreign,*
게페우,Foreign,*
겐타마이신,Foreign,*
겐티아나,Foreign,*
겔,Foreign,*
겔렌데,Foreign,*
겔렌데슈프링겐,Foreign,*
겔렌데스키,Foreign,*
겔프,Foreign,*
겟세마네,Foreign,*
겟투,Foreign,*
고골리,Foreign,*
고글,Foreign,*
고나도트로핀,Foreign,*
고니시,Foreign,*
고니오미터,Foreign,*
고니오포토미터,Foreign,*
고다이바,Foreign,*
고데,Foreign,*
고데스베르크,Foreign,*
고두노프,Foreign,*
고드프루아,Foreign,*
고딕,Foreign,*
고딘디엠,Foreign,*
고르반,Foreign,*
고르주,Foreign,*
고린도,Foreign,*
고릴라,Foreign,*
고메스,Foreign,*
고모라,Foreign,*
고블랭,Foreign,*
고사인탄,Foreign,*
고사쿠,Foreign,*
고셰,Foreign,*
고스트,Foreign,*
고어텍스,Foreign,*
고이젠,Foreign,*
고카트,Foreign,*
고클레니우스,Foreign,*
고타로,Foreign,*
고트프리트,Foreign,*
고트하르트,Foreign,*
고파크,Foreign,*
곤돌라,Foreign,*
곤스케,Foreign,*
곤틀릿,Foreign,*
골고다,Foreign,*
골드러시,Foreign,*
골드바,Foreign,*
골든,Foreign,*
골든캣,Foreign,*
골렘,Foreign,*
골로새,Foreign,*
골리앗,Foreign,*
골리즘,Foreign,*
골츠,Foreign,*
골퍼,Foreign,*
골프,Foreign,*
과나코,Foreign,*
과라나,Foreign,*
과이어콜,Foreign,*
괌,Foreign,*
광시좡,Foreign,*
괼링크스,Foreign,*
교사쿠,Foreign,*
구겐하임,Foreign,*
구니요시,Foreign,*
구드,Foreign,*
구드룬,Foreign,*
구라미,Foreign,*
구로다,Foreign,*
구르,Foreign,*
구르디예프,Foreign,*
구를라만다타,Foreign,*
구스베리,Foreign,*
구스타브,Foreign,*
구아네티딘,Foreign,*
구아노,Foreign,*
구아노신,Foreign,*
구아니딘,Foreign,*
구아닌,Foreign,*
구아닐,Foreign,*
구아버,Foreign,*
구아슈,Foreign,*
구아야콜,Foreign,*
구야시,Foreign,*
구엔,Foreign,*
구츠헤어샤프트,Foreign,*
구타,Foreign,*
군마,Foreign,*
굽타,Foreign,*
귀엔,Foreign,*
귀위크,Foreign,*
귄트,Foreign,*
그네툼,Foreign,*
그노몬,Foreign,*
그노시스,Foreign,*
그라나,Foreign,*
그라데볼레,Foreign,*
그라미시딘,Foreign,*
그라비어,Foreign,*
그라스,Foreign,*
그라우트,Foreign,*
그라우팅,Foreign,*
그라운드,Foreign,*
그라운드시트,Foreign,*
그라운딩,Foreign,*
그라이키아,Foreign,*
그라인더,Foreign,*
그라인딩,Foreign,*
그라처,Foreign,*
그라치오소,Foreign,*
그라칠레,Foreign,*
그라탱,Foreign,*
그라티아이,Foreign,*
그라프,Foreign,*
그라피,Foreign,*
그라피에,Foreign,*
그라피티,Foreign,*
그란디오소,Foreign,*
그람마티쿠스,Foreign,*
그랑데,Foreign,*
그랑드디상스,Foreign,*
그랑드조라스,Foreign,*
그랑프리,Foreign,*
그래놀리스,Foreign,*
그래놀리식,Foreign,*
그래뉼러,Foreign,*
그래머,Foreign,*
그래미,Foreign,*
그래스텍스,Foreign,*
그래포스코프,Foreign,*
그래프,Foreign,*
그래프트,Foreign,*
그래피,Foreign,*
그래픽,Foreign,*
그래픽스,Foreign,*
그랜드스탠드,Foreign,*
