Column1,Column5,Column9
가,Suffix,*
가,Suffix,*
간,Suffix,*
감,Suffix,*
강,Suffix,*
같,Suffix,*
개,Suffix,*
개,Suffix,*
거리,Suffix,*
거리,Suffix,*
건,Suffix,*
격,Suffix,*
경,Suffix,*
계,Suffix,*
고,Suffix,*
공,Suffix,*
과,Suffix,*
관,Suffix,*
광,Suffix,*
구,Suffix,*
군,Suffix,*
권,Suffix,*
급,Suffix,*
급,Suffix,*
기,Suffix,*
껏,Suffix,*
께,Suffix,*
꼴,Suffix,*
꾼,Suffix,*
끼,Suffix,*
끼리,Suffix,*
나,Suffix,*
날,Suffix,*
날,Suffix,*
남,Suffix,*
내,Suffix,*
냉,Suffix,*
네,Suffix,*
네,Suffix,*
년,Suffix,*
노,Suffix,*
논,Suffix,*
늦,Suffix,*
니임,Suffix,*
님,Suffix,*
다,Suffix,*
단,Suffix,*
답,Suffix,*
당,Suffix,*
당하,Suffix,*
당허,Suffix,*
대,Suffix,*
대,Suffix,*
대,Suffix,*
대하,Suffix,*
댁,Suffix,*
덜,Suffix,*
덧,Suffix,*
되,Suffix,*
되,Suffix,*
되,Suffix,*
되잖,Suffix,*
드리,Suffix,*
들,Suffix,*
들,Suffix,*
들이,Suffix,*
떨,Suffix,*
란,Suffix,*
량,Suffix,*
력,Suffix,*
론,Suffix,*
롭,Suffix,*
류,Suffix,*
률,Suffix,*
리,Suffix,*
ㅁ,Suffix,*
만큼,Suffix,*
만하,Suffix,*
만하,Suffix,*
맏,Suffix,*
맞,Suffix,*
맨,Suffix,*
면,Suffix,*
명,Suffix,*
명,Suffix,*
몰,Suffix,*
못마땅하,Suffix,*
무,Suffix,*
무,Suffix,*
문화권,Suffix,*
미,Suffix,*
민,Suffix,*
바기,Suffix,*
박이,Suffix,*
반,Suffix,*
받,Suffix,*
발,Suffix,*
방,Suffix,*
배기,Suffix,*
범,Suffix,*
변,Suffix,*
별,Suffix,*
별,Suffix,*
본,Suffix,*
부,Suffix,*
부,Suffix,*
분,Suffix,*
불,Suffix,*
비,Suffix,*
뻘,Suffix,*
사,Suffix,*
산,Suffix,*
상,Suffix,*
새,Suffix,*
샛,Suffix,*
생,Suffix,*
생,Suffix,*
선,Suffix,*
설,Suffix,*
성,Suffix,*
성,Suffix,*
소,Suffix,*
소,Suffix,*
순,Suffix,*
스러,Suffix,*
스럽,Suffix,*
승,Suffix,*
시,Suffix,*
시럽,Suffix,*
시키,Suffix,*
식,Suffix,*
신,Suffix,*
실,Suffix,*
심,Suffix,*
쌩,Suffix,*
씨,Suffix,*
씩,Suffix,*
아,Suffix,*
악,Suffix,*
액,Suffix,*
양,Suffix,*
어,Suffix,*
어치,Suffix,*
엄청나,Suffix,*
업,Suffix,*
여,Suffix,*
여,Suffix,*
역,Suffix,*
연,Suffix,*
온,Suffix,*
왕,Suffix,*
용,Suffix,*
원,Suffix,*
유,Suffix,*
유,Suffix,*
율,Suffix,*
이,Suffix,*
인,Suffix,*
자,Suffix,*
잔,Suffix,*
잡,Suffix,*
잡이,Suffix,*
장이,Suffix,*
재,Suffix,*
재,Suffix,*
쟁이,Suffix,*
저,Suffix,*
저,Suffix,*
적,Suffix,*
적,Suffix,*
전,Suffix,*
점,Suffix,*
정,Suffix,*
제,Suffix,*
제,Suffix,*
조,Suffix,*
주,Suffix,*
주의,Suffix,*
준,Suffix,*
중,Suffix,*
중,Suffix,*
지,Suffix,*
지,Suffix,*
지,Suffix,*
직,Suffix,*
진,Suffix,*
질,Suffix,*
짓,Suffix,*
짓,Suffix,*
짜,Suffix,*
짜리,Suffix,*
짝,Suffix,*
째,Suffix,*
쫌,Suffix,*
쯤,Suffix,*
찌리,Suffix,*
차,Suffix,*
차,Suffix,*
참,Suffix,*
채,Suffix,*
첫,Suffix,*
초,Suffix,*
총,Suffix,*
최,Suffix,*
측,Suffix,*
층,Suffix,*
치,Suffix,*
치레,Suffix,*
친,Suffix,*
친하,Suffix,*
캡,Suffix,*
타,Suffix,*
탈,Suffix,*
통,Suffix,*
투성이,Suffix,*
틱,Suffix,*
틱하,Suffix,*
파,Suffix,*
판,Suffix,*
편,Suffix,*
편하,Suffix,*
폐,Suffix,*
풋,Suffix,*
풍,Suffix,*
피,Suffix,*
하,Suffix,*
하,Suffix,*
하,Suffix,*
하,Suffix,*
학,Suffix,*
학년,Suffix,*
한,Suffix,*
한,Suffix,*
해,Suffix,*
행,Suffix,*
허,Suffix,*
허,Suffix,*
헛,Suffix,*
헤,Suffix,*
헷,Suffix,*
혀,Suffix,*
혀,Suffix,*
형,Suffix,*
호,Suffix,*
홀,Suffix,*
화,Suffix,*
화,Suffix,*
회,Suffix,*
히,Suffix,*
