Column1,Column5,Column9
가,Verb,*
가까워,Verb,*
가깝,Verb,*
가꾸,Verb,*
가누,Verb,*
가는귀먹,Verb,*
가늘,Verb,*
가다듬,Verb,*
가닥지,Verb,*
가닿,Verb,*
가동그리,Verb,*
가두,Verb,*
가득차,Verb,*
가라,Verb,*
가라사대,Verb,*
가라안치,Verb,*
가라앉,Verb,*
가라앉히,Verb,*
가랍,Verb,*
가랑거리,Verb,*
가려내,Verb,*
가려먹,Verb,*
가려보,Verb,*
가려뽑,Verb,*
가려워하,Verb,*
가로,Verb,*
가로건너,Verb,*
가로걸리,Verb,*
가로놓,Verb,*
가로놓이,Verb,*
가로눕,Verb,*
가로눕히,Verb,*
가로뉘,Verb,*
가로막,Verb,*
가로막히,Verb,*
가로맡,Verb,*
가로새,Verb,*
가로잡,Verb,*
가로젓,Verb,*
가로젖,Verb,*
가로지르,Verb,*
가로질리,Verb,*
가로채,Verb,*
가로채이,Verb,*
가로치,Verb,*
가르,Verb,*
가르릉거리,Verb,*
가르치,Verb,*
가르키,Verb,*
가리,Verb,*
가리오,Verb,*
가리와,Verb,*
가리우,Verb,*
가리치,Verb,*
가리키,Verb,*
가만두,Verb,*
가만있,Verb,*
가말,Verb,*
가물,Verb,*
가물가물거리,Verb,*
가물거리,Verb,*
가물대,Verb,*
가물치,Verb,*
가버리,Verb,*
가보,Verb,*
가빠지,Verb,*
가새지르,Verb,*
가스러지,Verb,*
가시,Verb,*
가시잖,Verb,*
가위눌리,Verb,*
가져가,Verb,*
가져다주,Verb,*
가져오,Verb,*
가져주,Verb,*
가지,Verb,*
가지가,Verb,*
가하,Verb,*
각,Verb,*
각지,Verb,*
간,Verb,*
간당거리,Verb,*
간댕이,Verb,*
간동그리,Verb,*
간드랑거리,Verb,*
간드랑대,Verb,*
간종그리,Verb,*
간지럽히,Verb,*
간지르,Verb,*
간질,Verb,*
간질거리,Verb,*
간질이,Verb,*
간추리,Verb,*
간하,Verb,*
갇히,Verb,*
갈,Verb,*
갈고,Verb,*
갈고닦,Verb,*
갈구,Verb,*
갈기,Verb,*
갈끼,Verb,*
갈등하,Verb,*
갈라,Verb,*
갈라내,Verb,*
갈라놓,Verb,*
갈라뜨리,Verb,*
갈라붙이,Verb,*
갈라서,Verb,*
갈라앉,Verb,*
갈라지,Verb,*
갈라치,Verb,*
갈래지,Verb,*
갈르,Verb,*
갈리,Verb,*
갈마들,Verb,*
갈서,Verb,*
갈아끼우,Verb,*
갈아대,Verb,*
갈아매,Verb,*
갈아먹,Verb,*
갈아부치,Verb,*
갈아붙이,Verb,*
갈아엎,Verb,*
갈아입,Verb,*
갈아입히,Verb,*
갈아주,Verb,*
갈아치,Verb,*
갈아치우,Verb,*
갈아타,Verb,*
갈앉,Verb,*
갈치,Verb,*
갈키,Verb,*
갉,Verb,*
갉아먹,Verb,*
갉작거리,Verb,*
갋,Verb,*
감,Verb,*
감겨들,Verb,*
감기,Verb,*
감돌,Verb,*
감빨,Verb,*
감싸,Verb,*
감싸안,Verb,*
감싸이,Verb,*
감아올리,Verb,*
감아쥐,Verb,*
감아차,Verb,*
감잡히,Verb,*
감추,Verb,*
감추리,Verb,*
감추이,Verb,*
감치,Verb,*
감하,Verb,*
값나가,Verb,*
값하,Verb,*
갓나,Verb,*
갓들어오,Verb,*
갔다오,Verb,*
갔잖,Verb,*
강그러지,Verb,*
강조하,Verb,*
강하,Verb,*
갖,Verb,*
갖고오,Verb,*
갖다놓,Verb,*
갖다대,Verb,*
갖다두,Verb,*
갖다바치,Verb,*
갖다버리,Verb,*
갖다붓,Verb,*
갖다주,Verb,*
갖추,Verb,*
갖히,Verb,*
같,Verb,*
같아지,Verb,*
같애,Verb,*
같히,Verb,*
갚,Verb,*
개,Verb,*
개기,Verb,*
개리,Verb,*
개않,Verb,*
개올리,Verb,*
개웃거리,Verb,*
개이,Verb,*
개지,Verb,*
개키,Verb,*
갸우뚱거리,Verb,*
갸웃거리,Verb,*
갸웃대,Verb,*
갸웃하,Verb,*
거,Verb,*
거꾸,Verb,*
거꾸러뜨리,Verb,*
거꾸러지,Verb,*
거꾸리어지,Verb,*
거나리,Verb,*
거느리,Verb,*
거닐,Verb,*
거두,Verb,*
거두어들이,Verb,*
거두우,Verb,*
거둬들이,Verb,*
거둬주,Verb,*
거드럭거리,Verb,*
거들,Verb,*
거들대,Verb,*
거들떠보,Verb,*
거들뜨,Verb,*
거들먹거리,Verb,*
거들먹대,Verb,*
거듭나,Verb,*
거르,Verb,*
거르렁거리,Verb,*
거리,Verb,*
거리끼,Verb,*
거머잡,Verb,*
거머잡히,Verb,*
거머쥐,Verb,*
거머채,Verb,*
거스르,Verb,*
거스리,Verb,*
거슬러가,Verb,*
거슬르,Verb,*
거슬리,Verb,*
거우,Verb,*
거우러나지,Verb,*
거울삼,Verb,*
거저먹,Verb,*
거지,Verb,*
거쳐가,Verb,*
거치,Verb,*
거치적거리,Verb,*
거칠어지,Verb,*
거하,Verb,*
건내,Verb,*
건내주,Verb,*
건너,Verb,*
건너가,Verb,*
건너다니,Verb,*
건너다보,Verb,*
건너다보이,Verb,*
건너뛰,Verb,*
건너보,Verb,*
건너서,Verb,*
건너오,Verb,*
건너지르,Verb,*
건네,Verb,*
건네받,Verb,*
건네오,Verb,*
건네이,Verb,*
건네주,Verb,*
건느,Verb,*
건드리,Verb,*
건들,Verb,*
건들거리,Verb,*
건들대,Verb,*
건들리,Verb,*
건들이,Verb,*
건디,Verb,*
건디리,Verb,*
건지,Verb,*
건혼나,Verb,*
걷,Verb,*
걷곳,Verb,*
걷몰,Verb,*
걷어내,Verb,*
걷어부치,Verb,*
걷어붙이,Verb,*
걷어올리,Verb,*
걷어잡,Verb,*
걷어쥐,Verb,*
걷어차,Verb,*
걷어차이,Verb,*
걷어채,Verb,*
걷어채이,Verb,*
걷어치우,Verb,*
걷잡,Verb,*
걷지르,Verb,*
걷히,Verb,*
걸,Verb,*
걸걸거리,Verb,*
걸근거리,Verb,*
걸까리지,Verb,*
걸뜨,Verb,*
걸뜨리,Verb,*
걸려들,Verb,*
걸르,Verb,*
걸리,Verb,*
걸리적거리,Verb,*
걸리적대,Verb,*
걸매,Verb,*
걸머메,Verb,*
걸머지,Verb,*
걸신들리,Verb,*
걸어가,Verb,*
걸어내려오,Verb,*
걸어다니,Verb,*
걸어앉,Verb,*
걸어오,Verb,*
걸어올라가,Verb,*
걸우,Verb,*
걸치,Verb,*
걸치적대,Verb,*
걸터눕,Verb,*
걸터들이,Verb,*
걸터듬,Verb,*
걸터앉,Verb,*
걸터앉히,Verb,*
걸터타,Verb,*
겁나,Verb,*
겁내,Verb,*
겁먹,Verb,*
겁주,Verb,*
것집,Verb,*
겄,Verb,*
겅둥거리,Verb,*
겅둥대,Verb,*
겅중거리,Verb,*
겉꾸미,Verb,*
겉늙,Verb,*
겉돌,Verb,*
