Column1,Column5,Column9
?들,Josa,*
?커녕,Josa,*
?더러,Josa,*
?랑,Josa,*
?로,Josa,*
?루,Josa,*
?보고,Josa,*
ㄴ들,Josa,*
ㄴ들,Josa,*
ㄴ즉,Josa,*
ㄴ즉슨,Josa,*
ㄴ커녕,Josa,*
ㄹ,Josa,*
ㄹ,Josa,*
ㄹ,Josa,*
ㄹ,Josa,*
ㄹ게요,Josa,*
ㄹ더러,Josa,*
ㄹ랑,Josa,*
ㄹ로,Josa,*
ㄹ로부터,Josa,*
ㄹ로써,Josa,*
ㄹ루,Josa,*
ㅓ도,Josa,*
ㅕ두,Josa,*
ㅕ서,Josa,*
가,Josa,*
가,Josa,*
가,Josa,*
가정,Josa,*
가지,Josa,*
가지고,Josa,*
간이,Josa,*
갓치,Josa,*
갖고,Josa,*
같이,Josa,*
거나,Josa,*
거나,Josa,*
거나,Josa,*
거냐,Josa,*
거든요,Josa,*
건,Josa,*
겉이,Josa,*
게,Josa,*
게,Josa,*
게서,Josa,*
게에,Josa,*
고,Josa,*
고,Josa,*
고,Josa,*
과,Josa,*
과,Josa,*
과,Josa,*
과,Josa,*
그래,Josa,*
그랴,Josa,*
그려,Josa,*
그리구,Josa,*
까자,Josa,*
까장,Josa,*
까정,Josa,*
까지,Josa,*
까지,Josa,*
까지,Josa,*
깨나,Josa,*
꺼정,Josa,*
꺼정두,Josa,*
꺼지,Josa,*
께,Josa,*
께,Josa,*
께로,Josa,*
께서,Josa,*
께서,Josa,*
께오서,Josa,*
꼐서,Josa,*
나,Josa,*
나,Josa,*
나,Josa,*
나가,Josa,*
나마,Josa,*
냐고,Josa,*
넌,Josa,*
느은,Josa,*
는,Josa,*
는,Josa,*
는커녕,Josa,*
니,Josa,*
다,Josa,*
다,Josa,*
다,Josa,*
다가,Josa,*
다가,Josa,*
다려,Josa,*
대로,Josa,*
대로,Josa,*
대루,Josa,*
대루,Josa,*
더러,Josa,*
더러,Josa,*
던가요,Josa,*
데로,Josa,*
도,Josa,*
도,Josa,*
도,Josa,*
도,Josa,*
도,Josa,*
두,Josa,*
두,Josa,*
든,Josa,*
든,Josa,*
든가,Josa,*
든가,Josa,*
든지,Josa,*
든지,Josa,*
들,Josa,*
따,Josa,*
따가,Josa,*
따라,Josa,*
따라,Josa,*
라,Josa,*
라,Josa,*
라고,Josa,*
라고,Josa,*
라고,Josa,*
라고,Josa,*
라고는,Josa,*
라구,Josa,*
라구,Josa,*
